STATION_NO,STATION_NAME
72793024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US"
99999924233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US"
72295023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US"
99999923174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US"
72606014764,"PORTLAND JETPORT, ME US"
99999914764,"PORTLAND JETPORT, ME US"
72211012842,"TAMPA INTERNATIONAL AIRPORT, FL US"
99999912842,"TAMPA INTERNATIONAL AIRPORT, FL US"
72258013960,"DALLAS FAA AIRPORT, TX US"
72258113960,"DALLAS FAA AIRPORT, TX US"
72258313960,"DALLAS FAA AIRPORT, TX US"
72270023044,"EL PASO INTERNATIONAL AIRPORT, TX US"
99999923044,"EL PASO INTERNATIONAL AIRPORT, TX US"
72251012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US"
72640014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US"
99999914839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US"
72537094847,"DETROIT METRO AIRPORT, MI US"
99999914822,"DETROIT METRO AIRPORT, MI US"
72658014922,"MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US"
99999914922,"MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US"
70026027502,"BARROW WEATHER SERVICE OFFICE AIRPORT, AK US"
91182022521,"HONOLULU INTERNATIONAL AIRPORT, HI US"
72572024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US"
72434013994,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US"
99999913994,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US"
