Atlantic MDR Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1910,-0.64
1911,-0.61
1912,-0.54
1913,-0.80
1914,-0.45
1915,0.23
1916,-0.30
1917,-0.59
1918,-0.33
1919,-0.22
1920,-0.62
1921,-0.52
1922,-0.60
1923,-0.72
1924,-0.37
1925,-0.54
1926,0.07
1927,0.07
1928,-0.31
1929,-0.49
1930,-0.30
1931,0.20
1932,0.28
1933,0.02
1934,-0.44
1935,-0.28
1936,0.11
1937,0.23
1938,-0.07
1939,-0.21
1940,0.59
1941,0.54
1942,0.32
1943,-0.03
1944,0.31
1945,0.49
1946,-0.06
1947,-0.31
1948,-0.03
1949,-0.18
1950,-0.17
1951,0.16
1952,0.21
1953,0.24
1954,-0.09
1955,0.04
1956,-0.01
1957,0.03
1958,0.67
1959,0.06
1960,0.26
1961,0.14
1962,0.30
1963,0.33
1964,0.10
1965,-0.10
1966,0.28
1967,-0.07
1968,-0.02
1969,0.60
1970,0.32
1971,-0.22
1972,-0.20
1973,-0.02
1974,-0.45
1975,-0.28
1976,-0.23
1977,-0.03
1978,0.18
1979,0.35
1980,0.45
1981,0.43
1982,0.06
1983,0.39
1984,-0.05
1985,-0.09
1986,-0.18
1987,0.56
1988,0.38
1989,0.00
1990,0.33
1991,0.00
1992,0.09
1993,0.10
1994,-0.11
1995,0.50
1996,0.31
1997,0.42
1998,0.73
1999,0.29
2000,0.08
2001,0.32
2002,0.37
2003,0.50
2004,0.63
2005,0.96
2006,0.62
2007,0.48
2008,0.48
2009,0.38
2010,1.19
2011,0.72
2012,0.60
2013,0.70
2014,0.40
2015,0.58
2016,0.85
2017,0.85
2018,0.30
2019,0.50
