Caribbean Islands Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1910,-0.84
1911,-0.55
1912,-0.35
1913,-0.71
1914,-0.36
1915,0.03
1916,-0.31
1917,-0.62
1918,-0.35
1919,-0.29
1920,-0.41
1921,-0.47
1922,-0.50
1923,-0.60
1924,-0.33
1925,-0.39
1926,0.01
1927,-0.11
1928,-0.27
1929,-0.48
1930,-0.23
1931,0.11
1932,0.09
1933,-0.08
1934,-0.21
1935,-0.19
1936,-0.03
1937,0.10
1938,-0.31
1939,-0.16
1940,0.37
1941,0.56
1942,0.38
1943,0.04
1944,0.24
1945,0.25
1946,-0.03
1947,-0.04
1948,0.00
1949,-0.05
1950,-0.35
1951,0.07
1952,0.32
1953,0.21
1954,0.04
1955,-0.09
1956,-0.09
1957,0.15
1958,0.48
1959,0.28
1960,0.45
1961,0.26
1962,0.26
1963,0.34
1964,0.23
1965,-0.07
1966,0.12
1967,-0.06
1968,0.02
1969,0.48
1970,0.15
1971,-0.11
1972,-0.06
1973,0.16
1974,-0.25
1975,-0.12
1976,-0.27
1977,0.08
1978,0.23
1979,0.17
1980,0.37
1981,0.35
1982,0.11
1983,0.34
1984,-0.04
1985,-0.02
1986,-0.04
1987,0.43
1988,0.24
1989,-0.05
1990,0.17
1991,0.09
1992,0.01
1993,0.12
1994,0.15
1995,0.44
1996,0.02
1997,0.24
1998,0.67
1999,0.35
2000,0.10
2001,0.25
2002,0.37
2003,0.51
2004,0.37
2005,0.69
2006,0.50
2007,0.57
2008,0.30
2009,0.35
2010,0.73
2011,0.52
2012,0.53
2013,0.54
2014,0.57
2015,0.79
2016,1.02
2017,0.81
2018,0.52
2019,0.68
