Southern Hemisphere Ocean Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,0.01
1881,0.05
1882,0.04
1883,0.00
1884,-0.12
1885,-0.18
1886,-0.16
1887,-0.23
1888,-0.11
1889,-0.02
1890,-0.25
1891,-0.15
1892,-0.14
1893,-0.13
1894,-0.17
1895,-0.14
1896,0.03
1897,-0.02
1898,-0.24
1899,-0.11
1900,-0.08
1901,-0.20
1902,-0.25
1903,-0.36
1904,-0.41
1905,-0.21
1906,-0.19
1907,-0.24
1908,-0.39
1909,-0.43
1910,-0.40
1911,-0.43
1912,-0.22
1913,-0.24
1914,-0.10
1915,-0.11
1916,-0.24
1917,-0.21
1918,-0.14
1919,-0.17
1920,-0.11
1921,-0.18
1922,-0.24
1923,-0.24
1924,-0.27
1925,-0.21
1926,-0.17
1927,-0.22
1928,-0.24
1929,-0.32
1930,-0.21
1931,-0.16
1932,-0.21
1933,-0.27
1934,-0.17
1935,-0.23
1936,-0.24
1937,-0.14
1938,-0.16
1939,-0.05
1940,0.18
1941,0.32
1942,0.08
1943,0.11
1944,0.30
1945,0.26
1946,-0.10
1947,-0.13
1948,-0.16
1949,-0.13
1950,-0.15
1951,-0.11
1952,0.02
1953,0.01
1954,-0.21
1955,-0.22
1956,-0.13
1957,0.06
1958,0.02
1959,-0.01
1960,0.00
1961,0.04
1962,0.06
1963,0.01
1964,-0.15
1965,-0.05
1966,-0.08
1967,-0.10
1968,-0.04
1969,0.19
1970,0.09
1971,-0.01
1972,0.22
1973,0.24
1974,0.08
1975,0.05
1976,0.10
1977,0.27
1978,0.18
1979,0.33
1980,0.35
1981,0.29
1982,0.29
1983,0.42
1984,0.31
1985,0.30
1986,0.30
1987,0.45
1988,0.39
1989,0.32
1990,0.38
1991,0.36
1992,0.32
1993,0.34
1994,0.30
1995,0.33
1996,0.35
1997,0.48
1998,0.54
1999,0.34
2000,0.35
2001,0.48
2002,0.51
2003,0.48
2004,0.45
2005,0.43
2006,0.45
2007,0.38
2008,0.37
2009,0.53
2010,0.52
2011,0.42
2012,0.47
2013,0.49
2014,0.53
2015,0.63
2016,0.70
2017,0.62
2018,0.58
2019,0.64
